Life expectancy ,Adult Mortality,GDP
65,254,1247.61392
64.2,263,197.45788
63.3,273,997.7417141
62.5,282,885.6382245
61.7,29,87.9387673
62,312,765.8632358
75,12,2968.41186
75.5,99,265.642661
75.2,12,2214.732246
75.4,11,1761.537647
74.9,113,1524.41222
74.6,116,1461.7552
65.7,256,6532.651
65.1,268,7497.762376
64.2,286,77.625783
63.4,3,729.231453
77.4,88,4574.9787
77.2,89,5193.94932
77,9,535.86555
76.8,92,4716.673325
76.9,92,55.156834
76.4,94,4611.47298
76.1,97,4697.89732
76,98,575.31664
75.4,16,418.292176
75.7,1,344.321698
74.9,113,1524.41222
74.6,116,1461.7552
65.7,256,6532.651
65.1,268,7497.762376
64.2,286,77.625783
63.4,3,729.231453
77.4,88,4574.9787
77.2,89,5193.94932
77,9,535.86555
76.8,92,4716.673325
76.9,92,55.156834
76.4,94,4611.47298
76.1,97,4697.89732
76,98,575.31664
75.4,16,418.292176
75.7,1,344.321698
75,12,2968.41186
75.5,99,265.642661
75.2,12,2214.732246
75.4,11,1761.537647
74.9,113,1524.41222
74.6,116,1461.7552
65.7,256,6532.651
65.1,268,7497.762376
64.2,286,77.625783
63.4,3,729.231453
62.2,325,7645.21469
61.1,349,6346.15624
59.2,393,5185.729845
57.5,427,5623.379566
56.9,436,5714.47937
54.8,491,5374.554867
51.7,566,5351.253732
48.1,652,4896.583835
46.4,693,4163.6596
46,699,355.618382
46.7,679,3128.97793
47.8,647,3349.68823
75,142,8757.2622
74.8,144,1226.61731
74.7,146,12216.9446
74.5,148,12291.46685
74.1,152,13167.47289
73.8,154,11224.1548
73.6,157,8553.3847
73.4,158,8787.61375
73.3,159,7313.557962
73,161,586.145975
72.7,163,477.182746
72,17,3623.47667
71.8,172,359.587582
71.4,176,2819.649531
71,179,3146.95177
75,183,3739.11936
77.7,78,3967.8951
77.6,8,4159.8652
77.1,84,44597.27968
78.3,79,47651.2599
77.4,79,4717.273
76.9,79,35268.1117
76.8,88,27965.4754
77.2,84,37951.286
76,1,32672.36717
76.3,93,398.96692
76.2,92,2612.13345
76.4,89,21896.6527
76,89,18555.56649
74.8,95,16846.2198
74.7,19,16468.12886
74.4,16,188.44826
74.5,137,6993.47736
74.3,138,7853.335191
74.1,14,7674.86559
73.9,139,7378.25539
73.7,144,7813.83499
73.4,147,6843.263289
73.2,152,6955.987733
72.9,155,7296.122479
72.6,157,5932.899677
72.2,161,4513.13628
72.1,16,3893.68998
72.2,157,3381.57837
72,155,271.46824
71.8,157,287.534843
71.6,16,1764.97387
71.1,163,169.28586
59.9,26,615.592225
59.3,268,75.1464113
59,27,699.452847
58.6,271,673.8227
58.1,275,666.842783
57.5,279,575.4464527
56.9,283,552.7455521
56.1,288,569.7612784
55.3,293,475.11122
54.3,32,422.6332374
53.3,313,46.998871
52.4,323,371.323865
51.6,332,332.344351
51,338,26.7635413
56,344,235.4912324
51,348,226.4759814
59.6,288,33.681223
59.1,297,312.7489794
58.6,33,282.7555252
58,312,265.285651
57.4,321,26.479973
56.8,33,231.1943256
56.2,338,24.944652
55.3,35,196.2472628
54.8,355,17.79995
54.1,361,165.8794176
53.4,369,15.57434
52.6,378,127.4296648
51.9,387,112.849373
51.5,387,122.4335893
51.3,385,133.7427689
58,386,135.9984455
54.2,382,1233.524316
53.6,395,111.71186
53.3,394,12.989164
52.8,4,952.1872484
52.1,412,93.211716
51.8,412,824.8689393
51.6,47,676.397661
51.5,41,614.6729339
51.4,394,68.414399
73.3,114,2954.119467
73,117,3529.61843
72.8,12,3558.796314
72.7,121,348.482762
72.6,122,367.429453
72.5,123,3312.825985
72.4,124,3444.5566
72.4,124,3638.95946
72.3,126,3112.285712
72.1,129,234.28992
71.8,134,248.13459
71.4,14,1976.45856
71.1,144,1768.92132
77,148,1373.515636
73,152,1268.884564
69.9,155,1239.377855
68.7,174,1163.18977
68.3,179,198.687123
67.8,183,128.419568
67.4,186,95.244132
67,19,882.491462
66.6,192,785.6928841
66.1,195,738.2326684
65.6,199,745.7877873
65,24,631.675789
64.1,216,539.8791529
62.9,234,474.2238766
61.5,253,48.615184
63,268,362.4213785
59.3,273,339.676984
58.5,273,321.22634
57.7,274,3.685949
57.3,357,1244.429421
56.7,366,1441.1417
56.4,364,1365.34419
55.9,369,1255.648189
55.6,371,1295.649726
55.3,37,1182.869227
54.8,373,123.19538
54.2,382,1233.524316
53.6,395,111.71186
53.3,394,12.989164
52.8,4,952.1872484
52.1,412,93.211716
51.8,412,824.8689393
51.6,47,676.397661
51.5,41,614.6729339
51.4,394,68.414399
82.2,64,43315.744
82,65,544.43376
81.8,67,52413.72116
81.6,68,52496.69487
81.5,68,5282.2176
81.2,7,47447.4762
81,72,4773.45436
87,74,46596.33599
85,74,44544.5268
85,75,4386.69948
81,76,36189.58838
80,77,31979.87195
79.7,78,28172.14883
79.5,79,24167.8431
79.4,8,23691.59472
79.1,82,24124.16917
52.5,397,348.381417
58,437,377.132274
49.9,451,337.4849614
53,439,486.41114
49.8,443,494.336779
49.2,446,446.4434494
48.6,453,449.961839
47.6,477,456.8614334
46.8,495,397.148467
46.3,56,347.673678
45.9,511,327.1149461
45.7,512,313.21598
45.7,51,286.25819
45.6,58,253.768343
45.6,54,243.1586486
46,49,243.5429317
53.1,356,777.248751
52.6,362,125.998515
52.2,366,986.13177
51.8,367,973.472574
51.6,365,989.2363633
51.2,364,896.5697341
57,37,84.455939
49.6,394,929.772391
49.4,394,81.683884
48.5,414,712.1847694
48.6,46,66.2421396
48.5,45,454.6765879
48.4,43,292.5914364
48.1,43,22.854821
48,4,197.3156442
47.6,44,166.231785
85,82,13653.2264
83,83,14817.37778
81,84,15941.39722
79.9,84,15431.9293
79.8,86,1475.69242
79.1,89,1286.17764
79.3,91,1243.32824
79.6,88,1781.3668
78.9,9,1526.87746
78.9,91,9484.681227
78.4,93,7615.3468
78,97,621.828325
77.9,1,4787.699532
77.8,11,4463.545867
77.3,16,4595.666327
77.3,13,511.368479
76.1,85,869.211938
75.8,86,7683.5238
75.6,88,777.77594
75.4,89,6337.882993
75.2,91,5633.79616
75,92,456.512487
74.9,93,3838.434292
74.5,97,3471.247547
74.4,96,2695.366223
74.2,98,299.229676
73.9,99,1753.4178
73.5,11,158.668462
73.1,13,1288.642924
72.7,16,1148.5857
72.2,11,153.1824
71.7,115,959.372181
74.8,143,644.525556
74.6,144,7913.383432
74.4,145,83.5863
74.3,143,7884.984429
74.2,144,7227.73968
73.6,15,625.65544
73.6,15,5148.422113
73.5,146,5433.7245
73.5,144,4674.21961
73.1,147,379.78776
73.1,144,3386.256
72.8,148,274.249442
72.4,15,2246.257472
71.8,163,2355.725857
71.5,165,2395.856551
71.4,167,2472.197831
63.5,227,727.6463868
63.2,23,852.954379
62.9,233,834.341949
62.5,237,788.632653
62.2,241,829.7586885
61.8,246,769.1742883
61.3,251,778.5454199
61,255,795.97519
66,259,72.759313
63,262,648.38717
60,266,621.93372
59.8,269,616.4197236
59.6,271,544.566526
59.5,271,433.2691451
59.5,272,395.9319363
59.5,272,375.8528566
64.8,225,645.4637627
64.2,234,571.1622759
63.7,237,52.1535887
63.3,241,468.567249
62.6,249,354.8463544
61.8,261,341.39992
68,274,379.7566385
59.8,289,325.3825543
58.5,39,243.326822
57.2,328,193.794956
56,343,161.6266248
55,354,135.7623858
54,363,118.8734466
53.2,369,111.3634356
52.5,372,12.1789279
79.6,95,1146.36273
79.5,96,1647.44179
79.4,96,1569.66631
79.2,97,9985.36959
79,98,9186.59639
78.1,16,8199.414621
79.2,96,689.396224
78.9,99,6911.136136
78.9,93,612.623418
78,16,5245.187372
78.6,97,4697.11135
77.7,12,4425.57467
78,1,4167.71417
78.3,99,462.14965
77.5,1,3981.52847
77.6,98,388.363689
78,95,11579.6674
77.8,97,13467.46827
77.7,97,13574.749
77.1,14,13235.97757
77,14,14539.18421
76.6,16,1355.74586
76.3,19,14157.14416
76,116,15893.8656
75.8,114,13546.69872
75.9,113,11363.41845
75.2,116,1224.2459
75.4,114,9365.742468
74.7,122,785.881418
74.8,124,653.71637
74.9,126,5245.421419
74.7,127,4919.62869
79.1,92,762.261218
79,93,75.5199
78.7,96,676.15344
78.7,96,6425.941119
78.8,92,675.92436
78,98,5676.14143
78.1,11,5484.7763
77.9,12,5376.447622
78.1,14,5184.494227
78,14,4669.6916
77.2,19,3779.577
77.3,17,339.716256
77.4,18,3192.669378
77.7,19,2994.339988
76.7,115,2832.188893
76.9,115,2741.11542
85,52,2375.1127
83,53,2734.88382
81,54,2797.96736
80,56,28951.15556
79.7,57,32233.83942
79.5,59,3818.46396
79.3,6,3215.8159
79.1,62,3539.7488
78.9,63,31386.63265
78.8,64,27169.99256
78.7,65,25324.48666
78.6,65,23932.49128
78.5,66,2293.4789
78.4,68,16372.29152
78.2,69,1562.92433
78.1,7,14672.8826
78,16,5245.187372
78.6,97,4697.11135
77.7,12,4425.57467
78,1,4167.71417
78.3,99,462.14965
77.5,1,3981.52847
77.6,98,388.363689
78,95,11579.6674
77.8,97,13467.46827
77.7,97,13574.749
77.1,14,13235.97757
77,14,14539.18421
76.6,16,1355.74586
76.3,19,14157.14416
76,116,15893.8656
75.8,114,13546.69872
75.9,113,11363.41845
75.2,116,1224.2459
75.4,114,9365.742468
74.7,122,785.881418
74.8,124,653.71637
74.9,126,5245.421419
74.7,127,4919.62869
79.1,92,762.261218
79,93,75.5199
78.7,96,676.15344
78.7,96,6425.941119
78.8,92,675.92436
78,98,5676.14143
78.1,11,5484.7763
77.9,12,5376.447622
78.1,14,5184.494227
78,14,4669.6916
77.2,19,3779.577
77.3,17,339.716256
77.4,18,3192.669378
77.7,19,2994.339988
76.7,115,2832.188893
76.9,115,2741.11542
85,52,2375.1127
83,53,2734.88382
81,54,2797.96736
80,56,28951.15556
79.7,57,32233.83942
79.5,59,3818.46396
79.3,6,3215.8159
79.1,62,3539.7488
78.9,63,31386.63265
78.8,64,27169.99256
78.7,65,25324.48666
78.6,65,23932.49128
78.5,66,2293.4789
78.4,68,16372.29152
78.2,69,1562.92433
78.1,7,14672.8826.64416
84,73,62425.5392
81,75,61191.19263
80,76,5857.521
79.7,79,61753.667
79.2,84,5841.41122
78.9,86,58163.29359
78.8,88,64322.6664
78.4,93,58487.451
78.1,93,5226.99311
78.1,92,48799.8237
77.7,98,46511.6457
77.3,11,4458.7764
77,14,33228.69291
77,12,3751.64946
76.9,12,3743.55917
63.5,241,1862.167274
63,252,174.91511
62.7,256,1622.637974
62.2,263,1536.15685
61.8,268,143.986898
61.3,273,1325.99724
69,279,1253.657431
62,289,1214.77118
59.8,296,147.586896
59.1,39,965.6693779
58.6,318,94.7297489
58.1,326,864.184726
58,325,819.974118
57.9,322,792.15412
57.7,323,781.2322196
57.4,325,768.176767
73.9,152,6468.471648
73.6,154,6268.692122
73.4,157,627.55544
72.1,174,5968.876767
73.1,16,5759.643
72.7,166,5451.6696
73.6,157,4952.67753
73.3,161,511.37937
72.9,164,4647.31359
72.3,178,3836.468771
69.7,28,3681.5993
69.3,214,2421.9662
73,22,2372.628827
71.4,189,38.46578
71.2,188,2862.154836
72,176,282.4242
76.2,118,625.62224
76,121,6432.216537
76,121,674.9829
75.5,127,572.14313
75.3,131,5223.351763
75,134,4657.32361
75.1,137,4255.56571
74.6,139,4274.95265
74.7,14,359.71886
74.4,144,335.786541
74.2,151,321.942547
74.4,148,278.557892
74.4,151,244.46898
73.6,157,2183.966796
73.4,158,193.741571
72.8,163,1451.29776
э
73.5,178,4127.11775
73.3,181,3988.771871
73,184,3895.664491
73,181,3827.786267
72,197,3736.58713
72,191,3474.392445
71.4,23,3366.482133
71.7,194,357.347674
71.2,23,334.83817
75,211,362.951768
71,213,2835.281237
70,215,2632.79942
69.9,29,2519.737387
73,24,248.4125
68.9,219,2338.772244
69,218,2238.4116
58.2,32,1347.31257
57.9,32,192.59733
57.4,327,2246.9938
56.7,337,21557.6528
56.2,344,21451.88617
56.1,339,17136.44568
55.7,34,1653.2937
55.4,338,22742.38159
55,339,15761.83913
54.8,337,12732.2759
54.4,337,185.63334
54.1,336,685.34897
53.8,334,3577.176197
53.5,334,2711.17114
53.1,334,2283.87939
52.7,336,172.68491
62.9,286,582.775532
62.1,298,482.14994
61.4,311,43.7544499
75.2,142,1473.31923
75,144,14252.29452
74.8,145,12724.39377
74.6,147,11371.93895
74.4,149,1352.8374
74.2,151,9739.82556
74,153,9386.716452
73.8,154,9358.154162
73.6,156,9875.161736
76.3,116,13467.1236
76.2,118,12245.25645
76,119,12976.63642
67,322,326.825642
62,329,317.3294336
59.7,336,297.828588
59.4,34,276.75896
59.1,342,287.4222243
54.8,337,12732.2759
54.4,337,185.63334
54.1,336,685.34897
53.8,334,3577.176197
53.5,334,2711.17114
53.1,334,2283.87939
52.7,336,172.68491
62.9,286,582.775532
62.1,298,482.14994
61.4,311,43.7544499
67,322,326.825642
62,329,317.3294336
59.7,336,297.828588
59.4,34,276.75896
59.1,342,287.4222243
54.8,337,12732.2759
54.4,337,185.63334
54.1,336,685.34897
53.8,334,3577.176197
53.5,334,2711.17114
53.1,334,2283.87939
52.7,336,172.68491
62.9,286,582.775532
62.1,298,482.14994
61.4,311,43.7544499
67,322,326.825642
62,329,317.3294336
59.7,336,297.828588
59.4,34,276.75896
59.1,342,287.4222243
58.8,343,232.7945459
58.5,343,21.7687981
58.1,345,215.139213
45.3,593,28.1969487
77.6,119,1774.9291
77.3,122,19941.45532
76.9,127,1929.7746
76.3,135,17421.8922
76.1,138,17454.84342
75.6,137,14638.6482
74.9,156,14726.31828
74.2,167,1894.5485
73,189,16586.452
73,188,12595.4165
72.8,189,1338.31322
72.3,195,885.465115
71.9,199,7174.237415
71.2,211,538.347781
78,225,4498.95727
78,218,47.32827
64.8,225,645.4637627
64.2,234,571.1622759
63.7,237,52.1535887
63.3,241,468.567249
62.6,249,354.8463544
61.8,261,341.39992
68,274,379.7566385
59.8,289,325.3825543
58.5,39,243.326822
57.2,328,193.794956
56,343,161.6266248
55,354,135.7623858
54,363,118.8734466
53.2,369,111.3634356
52.5,372,12.1789279
51.2,391,123.876257
69.9,188,4921.89629
69.7,19,546.3728
69.6,192,4763.68956
69.4,195,4546.73854
69.2,197,4353.121392
69.1,2,3651.966784
68.9,23,3369.48247
68.7,26,4177.657789
68.6,29,478.82327
68.5,211,3749.939813
68.3,214,3658.63832
68.1,218,3332.918533
68,22,2835.973972
67.9,22,2259.55796
67.8,221,238.891729
67.7,221,276.1338
81.1,76,4245.39744
89,78,49914.61864
87,79,49638.7713
84,82,47415.55987
83,86,579.72415
79.9,89,4622.41516
79.7,91,4717.15571
79.6,94,5341.31487
79.3,96,48288.5491
79.2,96,4112.67651
78.9,11,38969.17163
78.7,12,37636.11173
78.4,98,32816.1688
78.1,98,26834.2625
78,1,24913.24452
77.5,15,24253.2542
82.4,78,36526.7711
82.2,79,42955.24287
82,81,42554.1225
81.5,83,4838.2444
81.7,83,4381.288
81.3,86,473.34279
81.1,88,41631.13141
89,88,45413.6571
89,89,416.58397
86,92,36544.5853
81,93,34879.72633
82,94,33874.74255
79.3,99,29691.18158
79.2,11,24275.2426
79,13,22527.31775
78.8,13,22465.64184
66,229,7388.984144
65.5,237,9692.163874
64.6,255,9679.742995
63.5,276,9774.18117
62.8,289,1716.2258
62.3,294,8754.113376
61.7,31,763.66223
61.6,298,194.2746
61.6,291,8352.81711
61.4,288,727.777345
65,37,6741.293948
59.7,322,5685.577736
59.7,32,4892.11618
59.7,315,412.55271
59.8,37,3976.14887
61,296,4116.46693
64.8,225,645.4637627
64.2,234,571.1622759
63.7,237,52.1535887
63.3,241,468.567249
62.6,249,354.8463544
61.8,261,341.39992
68,274,379.7566385
59.8,289,325.3825543
58.5,39,243.326822
57.2,328,193.794956
56,343,161.6266248
55,354,135.7623858
54,363,118.8734466
53.2,369,111.3634356
52.5,372,12.1789279
74.4,129,3764.64912
74.5,125,4429.6575
74.5,128,4274.376857
74.2,13,4142.869175
73.9,127,3725.63221
73.8,132,2964.47734
73.2,133,276.588512
73.9,128,3174.9491
74.4,12,2492.12878
73.9,126,1872.68416
73.9,128,153.57521
72.3,134,127.367228
72.7,132,928.18227
71.7,142,779.3845935
73,121,733.974142
71.8,129,691.997711
81,68,41176.88158
89,69,4792.65288
86,71,4653.91143
86,71,4465.24891
85,74,4681.32796
81,76,41785.55691
80,79,41732.7725
79.9,8,45699.19832
79.8,82,41814.8191
79.6,84,36447.87232
79.2,85,34696.6292
79.1,86,34165.9343
78.5,9,3359.95215
78.4,91,2525.16445
78.3,92,23687.31689
78,95,23718.7467
62.4,249,1361.11395
62.1,253,1432.227943
61.9,254,1814.492297
61.6,257,1629.8222
61.2,263,1574.978653
69,267,1312.67557
66,271,186.76538
63,275,1224.41554
59.9,28,19.686718
59.4,288,922.9351677
58.9,296,498.172394
58.3,34,423.1936389
57.9,38,373.2815537
57.6,31,39.484473
57.4,39,273.6596668
57.2,38,263.1124679
81,72,187.78991
88,73,21673.7817
86,74,21874.8195
84,76,22242.68193
85,76,25916.29353
83,76,26917.75898
80,78,2971.973
79.9,77,31997.2821
79.4,8,28827.32636
79.7,77,2481.15781
79.3,81,22551.73574
79.2,81,21955.149
79.1,81,18477.57841
79,81,1411.31339
78.7,83,12538.17883
78.2,84,1242.95373
73.6,142,9212.192824
73.5,143,8569.776998
73.3,144,7955.615985
73.1,146,7583.1872
72.9,15,741.48438
72.6,154,7365.666659
72.4,158,7395.88125
72.1,162,7946.944346
71.9,164,7322.596862
71.7,167,6764.722867
71.5,169,6754.512393
73,187,5836.17763
71.1,173,5773.73577
79,176,5292.232379
77,178,519.958715
74,182,5117.589923
71.9,186,3923.573344
71.7,187,3687.763767
71.4,189,3452.828934
71.3,189,3299.65139
71.1,193,3187.845296
77,196,2825.5247
76,198,2635.753474
79,19,2794.22189
75,192,2489.955836
69.7,24,2256.56724
69.2,28,277.83438
69.6,21,1872.73783
69.4,24,1753.349471
69.3,21,171.771491
68.4,211,1568.376276
67.7,221,1655.596261
59,284,554.48766
58.1,299,561.997387
58.8,284,54.169324
58.4,288,52.3485646
58.1,29,459.2912
57.8,291,438.7513346
57.3,297,436.6895539
56.8,33,437.4467238
56.4,36,49.456775
55.6,317,296.68382
54.7,327,33.424498
54,334,386.3288283
53.3,338,37.1931781
52.9,337,322.811171
52.5,336,315.83983
52.5,328,34.516918
58.9,275,596.8717189
58.4,282,642.6256154
58.1,279,61.566347
57.6,285,67.7518833
57.1,289,692.69989
56.7,287,543.957418
56.3,288,544.222779
55.6,297,583.5445622
55,32,481.694976
54.4,36,418.94454
53.9,37,424.9534585
53.5,38,393.3138244
53,38,36.5718585
52.8,35,321.481324
52.5,32,39.486749
52.1,3,297.7519443
66.2,215,4136.689919
66,217,43.82321
65.9,218,3944.178173
65.8,22,3785.935665
65.6,229,3439.597513
65.9,221,326.281212
66.1,218,2716.35256
66.3,218,2576.124957
65.7,232,2327.58324
65.2,24,1945.6395
65,238,198.455216
65.1,237,145.58861
65.3,237,986.7958173
65.3,244,96.8674827
65.4,247,925.582546
65.4,246,946.599372
63.5,24,814.5463952
63.1,245,83.1148117
62.7,253,81.265673
62.3,259,766.8437623
62.3,259,74.9358452
36.3,682,662.2795182
62.5,251,668.297646
62.1,259,674.7564147
61.8,266,615.8198192
61.1,28,55.47626
65,29,465.311876
58.7,32,387.9429725
59.7,3,329.782946
59.3,33,393.16327
58.9,35,413.7383164
58.6,35,462.486524
74.6,147,2326.15856
74.5,149,2242.711912
74.3,15,2136.77395
74.1,151,2178.38325
73.9,153,212.584798
73.6,156,1932.85829
73.4,157,1815.489496
73.2,159,1751.595857
73,16,1592.572182
72.8,161,1437.628785
72.5,163,1311.741714
72.2,165,1217.657961
71.9,166,1157.3427
71.6,169,1132.8721
71.3,171,113.4546
71,174,188.783165
75.8,134,12365.6263
75.6,137,14117.97668
75.5,139,13613.6147
75,146,12834.32349
74.8,15,1448.87958
74.5,156,1325.53379
74.2,162,12967.16543
74.1,165,15669.25929
73.5,176,13842.6549
73.4,177,11398.76584
72.9,182,11161.72441
72.9,18,1259.5266
72.5,184,8396.25323
72.5,184,665.6443
72.3,185,527.85364
71.7,193,4623.46712
82.7,49,5734.4436
82.5,49,52473.11356
82.4,5,4781.3888
82.5,5,44333.8518
82.1,51,46.217
81.8,53,41676.44527
81.6,55,4461.89251
81.4,58,55575.29196
81.3,59,68348.31817
81.1,61,5613.54115
81,62,56249.7555
88,65,46917.27216
87,65,3944.999
84,7,31996.2172
80,72,28585.9254
79.7,74,31813.37344
68.3,181,1613.18878
68,184,1573.11889
67.6,187,1452.195373
67.3,19,1446.98541
66.8,193,1461.671957
66.4,196,1345.77153
66,2,19.317765
65.5,23,991.484634
65.2,26,118.166373
64.8,28,792.259698
64.4,211,77.819
64,214,621.3183767
63.7,216,541.1352279
63.3,219,466.2842
62.9,222,447.138966
62.5,224,438.864634
69.1,176,3336.16686
68.9,179,3491.595887
68.7,181,362.663981
